Date,Adj Close,Close,High,Low,Open,Volume,Return,Log_Return,Volatility_20,SMA_20,SMA_50,Momentum_20,Volume_Change,Drawdown
2023-05-29,18598.650390625,18598.650390625,18641.19921875,18581.25,18619.150390625,265300,0.005367798508963517,0.005353443226476252,0.08896795461663519,18279.34755859375,17768.344140625,0.02954056964433982,0.33517866129843976,-0.011367421096345476
2023-05-30,18633.849609375,18633.849609375,18662.44921875,18575.5,18606.650390625,234400,0.0018925684396833287,0.0018907797884415813,0.08823184471213041,18303.65751953125,17800.1551171875,0.026791304013723316,-0.11647191858273653,-0.009496366279069801
2023-05-31,18534.400390625,18534.400390625,18603.900390625,18483.849609375,18594.19921875,696500,-0.0053370195013254795,-0.005351312266430236,0.09001322187026024,18325.88505859375,17831.4001171875,0.02457459795683503,1.9714163822525599,-0.014782703488372073
2023-06-01,18487.75,18487.75,18580.30078125,18464.55078125,18579.400390625,265600,-0.0025169624936233204,-0.0025201353688439534,0.08582386117272565,18337.48251953125,17861.443125,0.012705507774177116,-0.618664752333094,-0.017262458471760778
2023-06-02,18534.099609375,18534.099609375,18573.69921875,18478.400390625,18550.849609375,270900,0.002507044360454902,0.002503906967370625,0.07565210884493151,18360.7375,17890.1241015625,0.025740196434500984,0.019954819277108404,-0.014798691860465119
2023-06-05,18593.849609375,18593.849609375,18640.150390625,18582.80078125,18612.0,256100,0.003223787573137793,0.0032186023111129003,0.06739865900990713,18377.2099609375,17922.2330859375,0.018037779051268688,-0.054632705795496506,-0.011622612126245824
2023-06-06,18599.0,18599.0,18622.75,18531.599609375,18600.80078125,220800,0.00027699431442118616,0.00027695595857881204,0.06737151118465917,18393.8625,17952.0630859375,0.018233423144969896,-0.1378367825068333,-0.011348837209302354
2023-06-07,18726.400390625,18726.400390625,18738.94921875,18636.0,18665.599609375,260100,0.006849851638528914,0.006826497990157328,0.0703609356499553,18414.4275390625,17983.5530859375,0.02245692297733748,0.1779891304347827,-0.004576723421926943
2023-06-08,18634.55078125,18634.55078125,18777.900390625,18615.599609375,18725.349609375,286500,-0.0049048192636628185,-0.004916887367083021,0.07323807616672025,18431.305078125,18014.70609375,0.018448422214024207,0.10149942329873118,-0.009459094684385327
2023-06-09,18563.400390625,18563.400390625,18676.650390625,18555.400390625,18655.900390625,221800,-0.00381819725413457,-0.003825505177262602,0.07514276945620649,18443.73505859375,18047.0730859375,0.013573699891374469,-0.2258289703315881,-0.013241175249169457
2023-06-12,18601.5,18601.5,18633.599609375,18559.75,18595.05078125,179500,0.0020524046550352004,0.0020503013499982166,0.07392642755181529,18453.867578125,18079.3891015625,0.011014296813521396,-0.19071235347159599,-0.011215946843853852
2023-06-13,18716.150390625,18716.150390625,18728.900390625,18631.80078125,18631.80078125,233200,0.0061635024393194016,0.00614458574708609,0.07204303883913739,18475.35009765625,18114.678125,0.023495496165203855,0.2991643454038997,-0.005121573920265798
2023-06-14,18755.900390625,18755.900390625,18769.69921875,18690.0,18744.599609375,261400,0.0021238341844009856,0.002121582036807868,0.06729675610713275,18504.0576171875,18148.1821484375,0.031578389903337056,0.12092624356775294,-0.003008617109634515
2023-06-15,18688.099609375,18688.099609375,18794.099609375,18669.05078125,18774.44921875,263000,-0.0036149041015322014,-0.0036214536561356998,0.06801561329768784,18531.96513671875,18174.749140625,0.03078609784785069,0.006120887528691554,-0.0066126453488372094
2023-06-16,18826.0,18826.0,18864.69921875,18710.5,18723.30078125,272800,0.0073790483520230765,0.007351956368470602,0.07061069449074055,18563.0951171875,18203.308125,0.03420237955627492,0.03726235741444861,0.0
2023-06-19,18755.44921875,18755.44921875,18881.44921875,18719.150390625,18873.30078125,219800,-0.0037475183921172883,-0.003754557931873424,0.07111378834414943,18585.14755859375,18227.27609375,0.024082078512970062,-0.19428152492668627,-0.0037475183921172883
2023-06-20,18816.69921875,18816.69921875,18839.69921875,18660.650390625,18752.349609375,211600,0.003265717567498605,0.0032603966930515953,0.07146465343256292,18608.58251953125,18251.6270703125,0.025544975951057314,-0.03730664240218384,-0.0004940391612663353
2023-06-21,18856.849609375,18856.849609375,18875.900390625,18794.849609375,18849.400390625,217500,0.0021337637466720683,0.0021314905059401927,0.06932871823939442,18637.15498046875,18276.283046875,0.03125166562078596,0.027882797731568987,0.0
2023-06-22,18771.25,18771.25,18886.599609375,18759.5,18853.599609375,252700,-0.004539443817404343,-0.004549778379793411,0.07257962212570027,18659.6599609375,18297.26203125,0.02456721329056477,0.16183908045977002,-0.004539443817404343
2023-06-23,18665.5,18665.5,18756.400390625,18647.099609375,18741.849609375,210600,-0.005633615236065759,-0.005649543898520234,0.06918163164526349,18667.96748046875,18314.3240234375,0.008981417948920711,-0.1666007123070835,-0.01014748557361711
2023-06-26,18691.19921875,18691.19921875,18722.05078125,18646.69921875,18682.349609375,171300,0.0013768299134766515,0.0013758829522746805,0.06684138421943514,18672.594921875,18331.5880078125,0.004976104511951629,-0.18660968660968658,-0.008784627021824698
2023-06-27,18817.400390625,18817.400390625,18829.25,18714.25,18748.55078125,222500,0.00675190341711196,0.006729211402828641,0.07052348270180575,18681.7724609375,18353.7990234375,0.00985039511951702,0.29889083479276124,-0.002092036557919341
2023-06-28,18972.099609375,18972.099609375,19011.25,18861.349609375,18908.150390625,398800,0.00822107281232487,0.008187463868637099,0.07200881745669306,18703.657421875,18380.0380078125,0.023615504657566122,0.7923595505617977,0.0
2023-06-30,19189.05078125,19189.05078125,19201.69921875,19024.599609375,19076.849609375,247900,0.01143527476356887,0.011370386219451868,0.07910626352847756,18738.7224609375,18411.4440234375,0.03793326831280175,-0.37838515546639917,0.0
2023-07-03,19322.55078125,19322.55078125,19345.099609375,19234.400390625,19246.5,226100,0.00695709243369369,0.006933003527425256,0.08111991068181425,18778.14501953125,18445.4060546875,0.04254057054253568,-0.08793868495361035,0.0
2023-07-04,19389.0,19389.0,19434.150390625,19300.0,19406.599609375,226900,0.003438946519135566,0.0034330468644171055,0.08116328577576888,18817.9025390625,18480.7050390625,0.04276416166257935,0.0035382574082265528,0.0
2023-07-05,19398.5,19398.5,19421.599609375,19339.599609375,19405.94921875,224400,0.0004899685388621844,0.0004898485434720244,0.08110357649366853,18857.8775390625,18513.80703125,0.04298618205279858,-0.011018069634200045,0.0
2023-07-06,19497.30078125,19497.30078125,19512.19921875,19373.0,19385.69921875,268300,0.00509321758125636,0.005080291021865595,0.07998425292767562,18896.42255859375,18548.368046875,0.041166501545643275,0.19563279857397498,0.0
2023-07-07,19331.80078125,19331.80078125,19523.599609375,19303.599609375,19422.80078125,237100,-0.00848835445771845,-0.008524585713268293,0.08500029294349924,18931.28505859375,18578.7320703125,0.03741705438381526,-0.11628773760715616,-0.00848835445771845
2023-07-10,19355.900390625,19355.900390625,19435.849609375,19327.099609375,19400.349609375,268200,0.0012466303397029588,0.0012458539412885826,0.08238567769815788,18970.91005859375,18607.5490625,0.042691531902755875,0.1311682834247152,-0.007252305958216576
2023-07-11,19439.400390625,19439.400390625,19515.099609375,19406.44921875,19427.099609375,251300,0.004313930032438185,0.004304651710725516,0.08275895262423234,19012.805078125,18635.0370703125,0.04504477545493635,-0.06301267710663683,-0.0029696618662559127
2023-07-12,19384.30078125,19384.30078125,19507.69921875,19361.75,19497.44921875,327900,-0.002834429471475497,-0.00283845407345589,0.08322601546443571,19046.21259765625,18659.770078125,0.035699135595730125,0.3048149621965779,-0.005795674040617427
2023-07-13,19413.75,19413.75,19567.0,19385.80078125,19495.19921875,310400,0.0015192303855748879,0.0015180775225879406,0.08321821685079953,19079.105078125,18686.2480859375,0.035074275064065796,-0.05336992985666367,-0.004285248619149806
2023-07-14,19564.5,19564.5,19595.349609375,19433.5,19493.44921875,291200,0.007765114931427508,0.007735121594226721,0.08330732957886665,19122.92509765625,18712.4220703125,0.046896175049567335,-0.061855670103092786,0.0
2023-07-17,19711.44921875,19711.44921875,19731.849609375,19562.94921875,19612.150390625,268700,0.007511013251041421,0.007482946045497489,0.08341409252122065,19167.19755859375,18745.2710546875,0.047033316623287025,-0.07726648351648346,0.0
2023-07-18,19749.25,19749.25,19819.44921875,19690.19921875,19787.5,286400,0.001917706853032497,0.0019158704007220429,0.08032834835520349,19216.88759765625,18774.968046875,0.05298730889668524,0.06587272050614068,0.0
2023-07-19,19833.150390625,19833.150390625,19851.69921875,19727.44921875,19802.94921875,259700,0.004248282371482448,0.00423928389630214,0.08051300519810724,19267.71015625,18806.3120703125,0.054018569360037016,-0.09322625698324027,0.0
2023-07-20,19979.150390625,19979.150390625,19991.849609375,19758.400390625,19831.69921875,274700,0.007361412439498949,0.007334449485705515,0.08218615717182792,19323.8251953125,18839.5930859375,0.05951687606884404,0.057758952637658734,0.0
2023-07-21,19745.0,19745.0,19887.400390625,19700.0,19800.44921875,312500,-0.011719737128305097,-0.011788954585924888,0.09404069201560025,19372.5126953125,18868.5530859375,0.05187454218552312,0.13760465962868573,-0.011719737128305097
2023-07-24,19672.349609375,19672.349609375,19782.75,19658.30078125,19748.44921875,265600,-0.0036794322929856182,-0.0036862180542648424,0.09201249586543753,19422.85517578125,18895.7040625,0.05394174328975909,-0.15008,-0.015356047442035559
2023-07-25,19680.599609375,19680.599609375,19729.349609375,19615.94921875,19729.349609375,369700,0.0004193703428323481,0.00041928243166748923,0.09224734729576695,19472.3251953125,18921.3390625,0.052934024138616476,0.3919427710843373,-0.014943116970083548
2023-07-26,19778.30078125,19778.30078125,19825.599609375,19716.69921875,19733.349609375,244700,0.004964339187534694,0.0049520574860006375,0.09139869893668189,19520.37021484375,18951.175078125,0.05106446005707199,-0.3381119826886665,-0.010052960483707407
2023-07-27,19659.900390625,19659.900390625,19867.55078125,19603.55078125,19850.900390625,334900,-0.0059863783008722304,-0.006004368496797154,0.09352367832071104,19554.76025390625,18980.7380859375,0.036253276938843726,0.3686146301593789,-0.015979157960080426
2023-07-28,19646.05078125,19646.05078125,19695.900390625,19563.099609375,19659.75,258700,-0.0007044597937843067,-0.0007047080421790248,0.0866727662966048,19577.61025390625,19011.0601171875,0.023815664735566067,-0.2275306061510899,-0.016672361079543396
2023-07-31,19753.80078125,19753.80078125,19772.75,19597.599609375,19666.349609375,295100,0.005484562836559181,0.005469577389253641,0.0855318766761491,19599.17275390625,19042.068125,0.02231848190656449,0.14070351758793964,-0.011279238854958629
2023-08-01,19733.55078125,19733.55078125,19795.599609375,19704.599609375,19784.0,298000,-0.0010251191770254131,-0.0010256449710540406,0.08538551113132606,19616.40029296875,19070.4511328125,0.017770425563463865,0.00982717722805826,-0.012292795467931605
2023-08-02,19526.55078125,19526.55078125,19678.25,19423.55078125,19655.400390625,290700,-0.010489749274959825,-0.010545154493387934,0.0945484984712871,19622.80283203125,19094.0221484375,0.00660106612624678,-0.02449664429530196,-0.02265359640054454
2023-08-03,19381.650390625,19381.650390625,19537.650390625,19296.44921875,19463.75,315700,-0.007420685416911321,-0.007448355676119346,0.09663412274344103,19617.0203125,19115.9471484375,-0.00593161032506706,0.08599931200550404,-0.02990617660500572
2023-08-04,19517.0,19517.0,19538.849609375,19436.44921875,19462.80078125,280800,0.006983389270114548,0.006959118337332752,0.09476208088327653,19626.2802734375,19139.864140625,0.00958002934365143,-0.11054798859676906,-0.023131633807704777
2023-08-07,19597.30078125,19597.30078125,19620.44921875,19524.80078125,19576.849609375,216600,0.004114401867602702,0.004105960861445235,0.09561001646733945,19638.35029296875,19161.8231640625,0.01247166940071276,-0.2286324786324786,-0.01911240477744136
2023-08-08,19570.849609375,19570.849609375,19634.400390625,19533.099609375,19627.19921875,260300,-0.0013497354646058168,-0.0013506471779916257,0.0948233217819958,19644.92275390625,19181.2671484375,0.006761999655781281,0.20175438596491224,-0.020436343551505143
2023-08-09,19632.55078125,19632.55078125,19645.5,19467.5,19578.80078125,266500,0.003152707884763739,0.0031477485221408875,0.09454495350288113,19657.33525390625,19201.241171875,0.012806755466781006,0.023818670764502503,-0.01734806548819201
